Order_ID,Customer_ID,Product,Region,Quantity,Unit_Price,Order_Date,Revenue
1124,27,Mobile,East,5,8000,2024-05-03,40000
1125,29,Mobile,East,3,60000,2024-05-04,180000
1126,32,Laptop,North,2,25000,2024-05-05,50000
1127,19,Mobile,North,2,15000,2024-05-06,30000
1128,21,Accessories,West,3,8000,2024-05-07,24000
1129,5,Mobile,South,2,25000,2024-05-08,50000
1130,18,Tablet,East,4,25000,2024-05-09,100000
1131,28,Mobile,East,1,15000,2024-05-10,15000
1132,22,Laptop,West,4,60000,2024-05-11,240000
1133,21,Mobile,North,2,40000,2024-05-12,80000
1134,6,Tablet,South,5,40000,2024-05-13,200000
1135,1,Tablet,North,1,25000,2024-05-14,25000
1136,5,Accessories,North,1,15000,2024-05-15,15000
1137,12,Mobile,North,3,40000,2024-05-16,120000
1138,26,Tablet,North,3,25000,2024-05-17,75000
1139,34,Laptop,East,5,60000,2024-05-18,300000
1140,14,Accessories,East,1,40000,2024-05-19,40000
1141,26,Laptop,North,5,25000,2024-05-20,125000
1142,27,Mobile,South,3,25000,2024-05-21,75000
1143,9,Mobile,West,3,8000,2024-05-22,24000
1144,26,Mobile,South,1,60000,2024-05-23,60000
1145,22,Accessories,South,4,8000,2024-05-24,32000
1146,30,Tablet,South,2,15000,2024-05-25,30000
1147,17,Accessories,North,3,8000,2024-05-26,24000
1148,26,Laptop,East,3,8000,2024-05-27,24000
1149,36,Accessories,South,4,40000,2024-05-28,160000
1150,1,Laptop,North,4,25000,2024-05-29,100000
